feature_id	mz	rtime
Cluster_0205	218.139192	3.489406371
Cluster_0206	218.1392857	3.54381927
Cluster_0207	218.1393251	3.778498957
Cluster_0208	218.1394447	3.976494119
Cluster_0209	218.1398432	4.112557829
Cluster_0210	218.1391702	4.665991853
Cluster_0211	218.1393973	4.748151845
Cluster_0212	218.1389678	4.854505802
Cluster_0213	218.1393124	4.95126897
Cluster_0214	218.1394685	5.092704521
Cluster_0215	218.1395418	5.493817168
Cluster_0216	218.1390773	5.75588201
Cluster_0217	218.1395667	6.020964235
Cluster_0218	218.1408369	6.157175592
Cluster_0219	218.1397711	6.383353033
Cluster_0220	218.1393219	6.456375644
Cluster_0221	218.1396823	6.52347524
Cluster_0222	218.1392812	6.720242099
Cluster_0223	218.1397143	6.912966246
Cluster_0224	218.1391689	7.083259558
Cluster_0225	218.1395017	7.313504724
Cluster_0226	218.1397707	7.442584729
Cluster_0227	218.1396282	7.529156916
Cluster_0228	218.1390018	7.836365177
Cluster_0229	218.1394204	7.978216238
Cluster_0230	218.1390831	8.393922905
Cluster_0231	218.139435	8.682233707
Cluster_0232	218.1390416	8.846647982
Cluster_0233	218.1395794	8.9664501
Cluster_0234	218.1412183	9.107647606
Cluster_0235	218.1387863	9.174171295
Cluster_0236	218.1392914	9.39098038
Cluster_0237	218.1396862	9.495069779
Cluster_0238	218.1402482	9.608955876
Cluster_0239	218.1394118	9.727813489
Cluster_0240	218.1400209	10.22981466
Cluster_0241	218.1409562	10.56123695
Cluster_0242	218.1396192	10.80209348
Cluster_0243	218.1403337	10.92353722
Cluster_0244	218.1391935	11.05046194
Cluster_0245	218.1394475	11.12068872
Cluster_0246	218.1391542	11.27232118
Cluster_0247	218.1391735	11.44558242
Cluster_0248	218.1408566	11.56086571
Cluster_0249	218.1394312	11.71156282
Cluster_0250	218.1397327	12.01551439
Cluster_0251	218.1411781	12.16765113
Cluster_0252	218.1398503	12.33805686
Cluster_0253	218.1387734	12.43100156
Cluster_0254	218.139531	12.56473631
Cluster_0255	218.1391145	12.7177942
Cluster_0256	218.1412791	12.81612294
Cluster_0257	218.1385607	12.91155511
Cluster_0258	218.139423	13.01984191
Cluster_0259	218.1401898	13.16893425
Cluster_0260	218.1399287	13.28328089
Cluster_0261	218.1385888	13.37998564
Cluster_0262	218.1411912	13.43881484
Cluster_0263	218.1406472	13.67270781
Cluster_0264	218.139303	13.83988738
Cluster_0265	218.1402835	14.06577352
Cluster_0266	218.1397921	14.19666035
Cluster_0267	218.1389393	14.27655376
Cluster_0268	218.139464	14.42660525
Cluster_0269	218.1387587	14.73821617
Cluster_0270	218.1402619	14.88452351
Cluster_0271	218.1405414	15.03299518
Cluster_0272	218.1389383	15.15785611
Cluster_0273	218.1402913	15.30832924
Cluster_0274	218.1397753	15.43225328
Cluster_0275	218.139747	15.79017953
Cluster_0276	218.1395545	15.92903462
Cluster_0277	218.1406751	16.1441272
Cluster_0278	218.1392905	16.37113834
Cluster_0279	218.1384013	16.61855446
Cluster_0280	218.1402778	16.85172655
Cluster_0281	218.1403788	17.20685147
Cluster_0282	218.1386682	17.29707161
Cluster_0283	218.1401881	17.4181075
Cluster_0284	218.1397778	17.54632589
Cluster_0285	218.1387621	17.66700946
Cluster_0286	218.1396262	17.91445069
Cluster_0287	218.1400864	18.10772518
Cluster_0288	218.1402413	18.22352341
Cluster_0289	218.1392598	18.36368839
Cluster_0290	218.1382838	18.49128782
Cluster_0291	218.1389735	18.70669848
Cluster_0292	218.1388562	18.82063503
Cluster_0293	218.1392508	18.92669851
Cluster_0294	218.1384642	19.01516927
Cluster_0295	218.1401749	19.17290021
Cluster_0296	218.1399288	19.32749694
Cluster_0297	218.1395665	19.42253893
Cluster_0298	218.1400888	19.52069183
Cluster_0299	218.138913	19.69657877
Cluster_0300	218.1403004	19.85651071
Cluster_0301	218.1393011	20.02585796
Cluster_0302	218.1393864	20.14553454
Cluster_0303	218.1392107	20.22602495
Cluster_0304	218.1396277	20.43570781
Cluster_0305	218.1396578	20.58457578
Cluster_0306	218.1386307	20.74540482
Cluster_0307	218.1396615	20.91994809
Cluster_0308	218.138878	21.04940096
Cluster_0309	218.1390175	21.3566667
Cluster_0310	218.1394002	21.51651408
Cluster_0311	218.1395239	21.64072891
Cluster_0312	218.1398133	21.79032307
Cluster_0313	218.1400826	21.90890018
Cluster_0314	218.1390967	22.02856443
Cluster_0315	218.1394445	22.22436294
Cluster_0316	218.1381738	22.43281688
Cluster_0317	218.1388415	22.55791977
Cluster_0318	218.1380906	22.70871591
Cluster_0319	218.1386628	22.86925701
Cluster_0320	218.137909	23.01469635
Cluster_0321	218.1382239	23.15412118
Cluster_0322	218.1381047	23.61686538
Cluster_0323	218.1380101	23.74696878
Cluster_0324	218.1380268	23.86292966
Cluster_0325	218.1381648	23.96110806
Cluster_0326	218.1378878	24.09104104
Cluster_0327	218.1380263	24.20410581
Cluster_0328	218.1374824	24.36344225
Cluster_0329	218.1380108	24.75945591
Cluster_0330	218.1384906	24.82739815
Cluster_0331	219.1433076	1.398694435
Cluster_0332	219.1425402	7.749987867
Cluster_0333	219.1421568	10.67996989
Cluster_0334	219.1422981	13.58344357
Cluster_0335	219.1428224	13.99773253
Cluster_0336	219.141992	14.64918637
Cluster_0337	219.1409736	15.48940185
Cluster_0338	219.1434466	15.60082578
Cluster_0339	219.1427786	16.0757228
Cluster_0340	219.142264	16.43334639
Cluster_0341	219.1427823	16.69856998
Cluster_0342	219.1426125	16.93817331
Cluster_0343	219.1416238	17.01580959
Cluster_0344	219.142854	17.82828021
Cluster_0345	219.1428035	18.04839732
Cluster_0346	219.1428624	20.35662809
Cluster_0347	219.1416568	21.15686806
Cluster_0348	219.1418312	21.26611767
Cluster_0349	219.1418032	22.12667413
Cluster_0350	219.1416018	23.34039204
Cluster_0351	219.1409968	23.44965131
Cluster_0352	222.0989123	2.537989048
Cluster_0353	236.0603722	6.108493608
Cluster_0354	240.9965286	1.471427665
Cluster_0355	261.1495218	10.59031804
Cluster_0356	266.0675903	2.109367643
Cluster_0357	268.0324427	10.57735604
Cluster_0358	278.212179	1.915958849
Cluster_0359	279.0942538	1.58503827
Cluster_0360	279.1599101	3.047355394
Cluster_0361	279.1601732	10.59057179
Cluster_0362	279.1778792	13.92440926
Cluster_0363	281.0278549	1.762882514
Cluster_0364	282.2797233	7.651051961
Cluster_0365	284.2949363	9.549216364
Cluster_0366	286.9806638	1.967097071
Cluster_0367	288.2906614	1.709703811
Cluster_0368	288.2906202	1.862370074
Cluster_0369	288.2903385	2.029272836
Cluster_0370	295.1734266	10.19019281
Cluster_0371	300.9930381	3.423267234
Cluster_0372	312.3265145	11.88704778
Cluster_0373	316.2129185	1.182860315
Cluster_0374	316.3217255	2.664457069
Cluster_0375	316.3216095	2.986156757
Cluster_0376	322.3071531	1.23557216
Cluster_0377	323.125518	4.741592579
Cluster_0378	324.2173184	3.049558383
Cluster_0379	324.2358377	2.111589772
Cluster_0380	324.3267229	11.75949132
Cluster_0381	325.0902338	3.255560007
Cluster_0382	327.0119025	2.786559753
Cluster_0383	327.0118578	2.916462508
Cluster_0384	327.0118747	2.891693918
Cluster_0385	327.3373884	7.651155762
Cluster_0386	328.0886752	3.256802072
Cluster_0387	329.3531598	9.550490568
Cluster_0388	331.2176552	1.940133385
Cluster_0389	338.3428574	11.08560607
Cluster_0390	338.3426291	12.10765697
Cluster_0391	339.1025928	5.090015981
Cluster_0392	352.2489031	3.043479725
Cluster_0393	352.358014	13.77787049
Cluster_0394	354.285732	2.20295418
Cluster_0395	354.3735708	12.99723536
