headgroup	name	exactmass	formula	chain_type
M(IP)2C	M(IP)2C 47:4;O2	1359.759735	C65H119NO24P2	odd
M(IP)2C	M(IP)2C 47:4;O3	1375.75465	C65H119NO25P2	odd
M(IP)2C	M(IP)2C 47:4;O4	1391.749565	C65H119NO26P2	odd
M(IP)2C	M(IP)2C 47:4;O5	1407.74448	C65H119NO27P2	odd
M(IP)2C	M(IP)2C 47:4;O6	1423.739395	C65H119NO28P2	odd
M(IP)2C	M(IP)2C 47:5;O2	1357.744085	C65H117NO24P2	odd
M(IP)2C	M(IP)2C 47:5;O3	1373.739	C65H117NO25P2	odd
M(IP)2C	M(IP)2C 47:5;O4	1389.733915	C65H117NO26P2	odd
M(IP)2C	M(IP)2C 47:5;O5	1405.72883	C65H117NO27P2	odd
M(IP)2C	M(IP)2C 47:5;O6	1421.723745	C65H117NO28P2	odd
M(IP)2C	M(IP)2C 47:6;O2	1355.728435	C65H115NO24P2	odd
M(IP)2C	M(IP)2C 47:6;O3	1371.72335	C65H115NO25P2	odd
M(IP)2C	M(IP)2C 47:6;O4	1387.718265	C65H115NO26P2	odd
M(IP)2C	M(IP)2C 47:6;O5	1403.71318	C65H115NO27P2	odd
M(IP)2C	M(IP)2C 47:6;O6	1419.708095	C65H115NO28P2	odd
M(IP)2C	M(IP)2C 48:0;O2	1381.837985	C66H129NO24P2	even
M(IP)2C	M(IP)2C 48:0;O3	1397.8329	C66H129NO25P2	even
M(IP)2C	M(IP)2C 48:0;O4	1413.827815	C66H129NO26P2	even
M(IP)2C	M(IP)2C 48:0;O5	1429.82273	C66H129NO27P2	even
M(IP)2C	M(IP)2C 48:0;O6	1445.817645	C66H129NO28P2	even
M(IP)2C	M(IP)2C 48:1;O2	1379.822335	C66H127NO24P2	even
M(IP)2C	M(IP)2C 48:1;O3	1395.81725	C66H127NO25P2	even
M(IP)2C	M(IP)2C 48:1;O4	1411.812165	C66H127NO26P2	even
M(IP)2C	M(IP)2C 48:1;O5	1427.80708	C66H127NO27P2	even
M(IP)2C	M(IP)2C 48:1;O6	1443.801995	C66H127NO28P2	even
M(IP)2C	M(IP)2C 48:2;O2	1377.806685	C66H125NO24P2	even
M(IP)2C	M(IP)2C 48:2;O3	1393.8016	C66H125NO25P2	even
M(IP)2C	M(IP)2C 48:2;O4	1409.796515	C66H125NO26P2	even
